fname,amine_hole_contri,ald_hole_contri,amine_elec_contri,ald_elec_contri
ald_13_freq_cut_amine_13_freq_cut,0.76%,99.24%,0.47%,99.53%
ald_13_freq_cut_amine_14_freq_cut,0.61%,99.39%,0.35%,99.65%
ald_13_freq_cut_amine_15_freq_cut,2.74%,97.26%,1.4%,98.6%
ald_13_freq_cut_amine_16_freq_cut,0.96%,99.04%,0.73%,99.27%
ald_13_freq_cut_amine_17_freq_cut,0.66%,99.34%,0.47%,99.53%
ald_13_freq_cut_amine_18_freq_cut,84.48%,15.52%,84.68%,15.32%
ald_13_freq_cut_amine_19_freq_cut,0.99%,99.01%,0.68%,99.32%
ald_13_freq_cut_amine_1_freq_cut,0.52%,99.48%,0.11%,99.89%
ald_13_freq_cut_amine_2_freq_cut,85.32%,14.68%,82.14%,17.86%
ald_13_freq_cut_amine_3_freq_cut,94.62%,5.38%,92.38%,7.62%
ald_13_freq_cut_amine_4_freq_cut,2.44%,97.56%,1.25%,98.75%
ald_13_freq_cut_amine_5_freq_cut,91.16%,8.84%,81.83%,18.17%
ald_13_freq_cut_amine_6_freq_cut,0.64%,99.36%,0.33%,99.67%
ald_13_freq_cut_amine_7_freq_cut,86.44%,13.56%,84.81%,15.19%
ald_13_freq_cut_amine_8_freq_cut,1.4%,98.6%,1.15%,98.85%
ald_13_freq_cut_amine_9_freq_cut,0.79%,99.21%,0.38%,99.62%
ald_14_freq_cut_amine_10_freq_cut,84.59%,15.41%,84.42%,15.58%
ald_14_freq_cut_amine_14_freq_cut,0.78%,99.22%,0.71%,99.29%
ald_14_freq_cut_amine_15_freq_cut,90.85%,9.15%,70.4%,29.6%
ald_14_freq_cut_amine_16_freq_cut,89.36%,10.64%,84.63%,15.37%
ald_14_freq_cut_amine_17_freq_cut,88.69%,11.31%,84.9%,15.1%
ald_14_freq_cut_amine_18_freq_cut,84.86%,15.14%,84.4%,15.6%
ald_14_freq_cut_amine_19_freq_cut,99.9%,0.1%,99.74%,0.26%
ald_14_freq_cut_amine_2_freq_cut,87.4%,12.6%,83.25%,16.75%
ald_14_freq_cut_amine_4_freq_cut,87.04%,12.96%,65.04%,34.96%
ald_14_freq_cut_amine_5_freq_cut,91.51%,8.49%,82.37%,17.63%
ald_14_freq_cut_amine_8_freq_cut,97.6%,2.4%,96.38%,3.62%
ald_14_freq_cut_amine_9_freq_cut,0.18%,99.82%,0.31%,99.69%
ald_15_freq_cut_amine_0_freq_cut,0.03%,99.97%,1.5%,98.5%
ald_15_freq_cut_amine_10_freq_cut,84.87%,15.13%,84.63%,15.37%
ald_15_freq_cut_amine_11_freq_cut,16.58%,83.42%,23.75%,76.25%
ald_15_freq_cut_amine_12_freq_cut,0.1%,99.9%,4.5%,95.5%
ald_15_freq_cut_amine_13_freq_cut,0.02%,99.98%,9.72%,90.28%
ald_15_freq_cut_amine_14_freq_cut,0.02%,99.98%,7.91%,92.09%
ald_15_freq_cut_amine_15_freq_cut,-0.23%,100.23%,0.93%,99.07%
ald_15_freq_cut_amine_16_freq_cut,0.02%,99.98%,8.68%,91.32%
ald_15_freq_cut_amine_17_freq_cut,0.04%,99.96%,9.84%,90.16%
ald_15_freq_cut_amine_18_freq_cut,84.93%,15.07%,84.5%,15.5%
ald_15_freq_cut_amine_19_freq_cut,0.07%,99.93%,9.95%,90.05%
ald_15_freq_cut_amine_1_freq_cut,-0.03%,100.03%,6.69%,93.31%
ald_15_freq_cut_amine_2_freq_cut,87.59%,12.41%,81.54%,18.46%
ald_15_freq_cut_amine_3_freq_cut,96.46%,3.54%,94.27%,5.73%
ald_15_freq_cut_amine_4_freq_cut,0.0%,100.0%,0.87%,99.13%
ald_15_freq_cut_amine_5_freq_cut,91.38%,8.62%,82.31%,17.69%
ald_15_freq_cut_amine_6_freq_cut,0.01%,99.99%,-0.21%,100.21%
ald_15_freq_cut_amine_7_freq_cut,86.22%,13.78%,84.39%,15.61%
ald_15_freq_cut_amine_8_freq_cut,0.05%,99.95%,9.8%,90.2%
ald_15_freq_cut_amine_9_freq_cut,0.05%,99.95%,11.12%,88.88%
ald_16_freq_cut_amine_0_freq_cut,0.13%,99.87%,0.46%,99.54%
ald_16_freq_cut_amine_10_freq_cut,84.75%,15.25%,84.55%,15.45%
ald_16_freq_cut_amine_11_freq_cut,0.26%,99.74%,0.51%,99.49%
ald_16_freq_cut_amine_12_freq_cut,-0.02%,100.02%,0.27%,99.73%
ald_16_freq_cut_amine_13_freq_cut,-0.13%,100.13%,0.16%,99.84%
ald_16_freq_cut_amine_14_freq_cut,0.15%,99.85%,0.51%,99.49%
ald_16_freq_cut_amine_15_freq_cut,0.27%,99.73%,0.47%,99.53%
ald_16_freq_cut_amine_16_freq_cut,0.02%,99.98%,0.89%,99.11%
ald_16_freq_cut_amine_17_freq_cut,-0.07%,100.07%,0.72%,99.28%
ald_16_freq_cut_amine_18_freq_cut,85.17%,14.83%,84.23%,15.77%
ald_16_freq_cut_amine_19_freq_cut,0.21%,99.79%,0.78%,99.22%
ald_16_freq_cut_amine_1_freq_cut,0.35%,99.65%,0.36%,99.64%
ald_16_freq_cut_amine_2_freq_cut,80.93%,19.07%,73.63%,26.37%
ald_16_freq_cut_amine_3_freq_cut,95.65%,4.35%,92.93%,7.07%
ald_16_freq_cut_amine_4_freq_cut,-0.23%,100.23%,0.21%,99.79%
ald_16_freq_cut_amine_5_freq_cut,-0.24%,100.24%,0.66%,99.34%
ald_16_freq_cut_amine_7_freq_cut,0.02%,99.98%,0.46%,99.54%
ald_16_freq_cut_amine_8_freq_cut,-0.01%,100.01%,0.75%,99.25%
ald_16_freq_cut_amine_9_freq_cut,0.26%,99.74%,0.71%,99.29%
ald_17_freq_cut_amine_0_freq_cut,0.09%,99.91%,0.19%,99.81%
ald_17_freq_cut_amine_10_freq_cut,39.11%,60.89%,39.3%,60.7%
ald_17_freq_cut_amine_11_freq_cut,0.67%,99.33%,0.5%,99.5%
ald_17_freq_cut_amine_12_freq_cut,0.62%,99.38%,0.39%,99.61%
ald_17_freq_cut_amine_13_freq_cut,0.5%,99.5%,0.22%,99.78%
ald_17_freq_cut_amine_14_freq_cut,0.41%,99.59%,0.53%,99.47%
ald_17_freq_cut_amine_15_freq_cut,0.67%,99.33%,0.61%,99.39%
ald_17_freq_cut_amine_16_freq_cut,0.23%,99.77%,0.36%,99.64%
ald_17_freq_cut_amine_17_freq_cut,0.45%,99.55%,0.47%,99.53%
ald_17_freq_cut_amine_18_freq_cut,50.54%,49.46%,49.99%,50.01%
ald_17_freq_cut_amine_19_freq_cut,0.65%,99.35%,0.59%,99.41%
ald_17_freq_cut_amine_1_freq_cut,0.28%,99.72%,0.34%,99.66%
ald_17_freq_cut_amine_2_freq_cut,17.5%,82.5%,15.02%,84.98%
ald_17_freq_cut_amine_3_freq_cut,87.32%,12.68%,84.74%,15.26%
ald_17_freq_cut_amine_4_freq_cut,0.42%,99.58%,0.53%,99.47%
ald_17_freq_cut_amine_5_freq_cut,0.36%,99.64%,0.49%,99.51%
ald_17_freq_cut_amine_6_freq_cut,0.42%,99.58%,0.38%,99.62%
ald_17_freq_cut_amine_7_freq_cut,0.52%,99.48%,0.5%,99.5%
ald_17_freq_cut_amine_8_freq_cut,0.56%,99.44%,0.46%,99.54%
ald_17_freq_cut_amine_9_freq_cut,0.6%,99.4%,0.47%,99.53%
ald_18_freq_cut_amine_0_freq_cut,57.09%,42.91%,33.37%,66.63%
ald_18_freq_cut_amine_10_freq_cut,84.54%,15.46%,84.54%,15.46%
ald_18_freq_cut_amine_11_freq_cut,85.69%,14.31%,79.23%,20.77%
ald_18_freq_cut_amine_12_freq_cut,77.62%,22.38%,55.43%,44.57%
ald_18_freq_cut_amine_13_freq_cut,84.26%,15.74%,65.88%,34.12%
ald_18_freq_cut_amine_14_freq_cut,73.32%,26.68%,43.2%,56.8%
ald_18_freq_cut_amine_15_freq_cut,85.52%,14.48%,62.25%,37.75%
ald_18_freq_cut_amine_16_freq_cut,87.89%,12.11%,81.66%,18.34%
ald_18_freq_cut_amine_17_freq_cut,88.37%,11.63%,84.14%,15.86%
ald_18_freq_cut_amine_18_freq_cut,84.47%,15.53%,84.42%,15.58%
ald_18_freq_cut_amine_19_freq_cut,99.44%,0.56%,99.4%,0.6%
ald_18_freq_cut_amine_1_freq_cut,23.29%,76.71%,11.75%,88.25%
ald_18_freq_cut_amine_2_freq_cut,86.71%,13.29%,82.34%,17.66%
ald_18_freq_cut_amine_3_freq_cut,96.03%,3.97%,94.0%,6.0%
ald_18_freq_cut_amine_4_freq_cut,82.73%,17.27%,58.6%,41.4%
ald_18_freq_cut_amine_5_freq_cut,91.32%,8.68%,82.32%,17.68%
ald_18_freq_cut_amine_6_freq_cut,73.11%,26.89%,45.42%,54.58%
ald_18_freq_cut_amine_7_freq_cut,86.27%,13.73%,84.34%,15.66%
ald_18_freq_cut_amine_8_freq_cut,97.61%,2.39%,96.66%,3.34%
ald_18_freq_cut_amine_9_freq_cut,70.73%,29.27%,42.36%,57.64%
ald_19_freq_cut_amine_10_freq_cut,84.78%,15.22%,84.52%,15.48%
ald_19_freq_cut_amine_13_freq_cut,90.24%,9.76%,89.0%,11.0%
ald_19_freq_cut_amine_14_freq_cut,2.64%,97.36%,1.8%,98.2%
ald_19_freq_cut_amine_15_freq_cut,90.33%,9.67%,71.56%,28.44%
ald_19_freq_cut_amine_16_freq_cut,89.1%,10.9%,84.87%,15.13%
ald_19_freq_cut_amine_17_freq_cut,88.07%,11.93%,84.83%,15.17%
ald_19_freq_cut_amine_18_freq_cut,85.01%,14.99%,84.42%,15.58%
ald_19_freq_cut_amine_19_freq_cut,99.83%,0.17%,99.72%,0.28%
ald_19_freq_cut_amine_2_freq_cut,87.21%,12.79%,83.31%,16.69%
ald_19_freq_cut_amine_4_freq_cut,86.29%,13.71%,65.24%,34.76%
ald_19_freq_cut_amine_5_freq_cut,91.43%,8.57%,82.49%,17.51%
ald_19_freq_cut_amine_8_freq_cut,98.07%,1.93%,96.5%,3.5%
ald_19_freq_cut_amine_9_freq_cut,3.18%,96.82%,1.71%,98.29%
ald_1_freq_cut_amine_0_freq_cut,1.18%,98.82%,0.31%,99.69%
ald_1_freq_cut_amine_10_freq_cut,84.85%,15.15%,84.57%,15.43%
ald_1_freq_cut_amine_12_freq_cut,87.13%,12.87%,62.84%,37.16%
ald_1_freq_cut_amine_13_freq_cut,92.24%,7.76%,84.89%,15.11%
ald_1_freq_cut_amine_14_freq_cut,76.77%,23.23%,45.49%,54.51%
ald_1_freq_cut_amine_15_freq_cut,89.25%,10.75%,65.85%,34.15%
ald_1_freq_cut_amine_16_freq_cut,88.77%,11.23%,83.88%,16.12%
ald_1_freq_cut_amine_17_freq_cut,88.66%,11.34%,85.14%,14.86%
ald_1_freq_cut_amine_18_freq_cut,84.73%,15.27%,84.36%,15.64%
ald_1_freq_cut_amine_19_freq_cut,99.8%,0.2%,99.55%,0.45%
ald_1_freq_cut_amine_1_freq_cut,-0.5%,100.5%,-0.07%,100.07%
ald_1_freq_cut_amine_2_freq_cut,87.88%,12.12%,83.03%,16.97%
ald_1_freq_cut_amine_3_freq_cut,96.71%,3.29%,94.91%,5.09%
ald_1_freq_cut_amine_4_freq_cut,86.74%,13.26%,61.66%,38.34%
ald_1_freq_cut_amine_5_freq_cut,91.04%,8.96%,82.23%,17.77%
ald_1_freq_cut_amine_7_freq_cut,86.16%,13.84%,84.11%,15.89%
ald_1_freq_cut_amine_8_freq_cut,97.75%,2.25%,96.16%,3.84%
ald_1_freq_cut_amine_9_freq_cut,77.91%,22.09%,46.82%,53.18%
ald_20_freq_cut_amine_0_freq_cut,0.3%,99.7%,0.17%,99.83%
ald_20_freq_cut_amine_10_freq_cut,84.48%,15.52%,84.67%,15.33%
ald_20_freq_cut_amine_11_freq_cut,82.15%,17.85%,76.39%,23.61%
ald_20_freq_cut_amine_12_freq_cut,0.42%,99.58%,0.41%,99.59%
ald_20_freq_cut_amine_13_freq_cut,1.03%,98.97%,0.67%,99.33%
ald_20_freq_cut_amine_14_freq_cut,0.55%,99.45%,0.22%,99.78%
ald_20_freq_cut_amine_15_freq_cut,45.12%,54.88%,32.4%,67.6%
ald_20_freq_cut_amine_16_freq_cut,2.49%,97.51%,1.94%,98.06%
ald_20_freq_cut_amine_17_freq_cut,7.83%,92.17%,7.05%,92.95%
ald_20_freq_cut_amine_18_freq_cut,84.66%,15.34%,84.57%,15.43%
