fname,amine_hole_contri,ald_hole_contri,amine_elec_contri,ald_elec_contri
ald_25_freq_cut_amine_5_freq_cut,91.24%,8.76%,82.33%,17.67%
ald_25_freq_cut_amine_6_freq_cut,0.79%,99.21%,0.67%,99.33%
ald_25_freq_cut_amine_7_freq_cut,86.05%,13.95%,84.58%,15.42%
ald_25_freq_cut_amine_8_freq_cut,33.57%,66.43%,32.55%,67.45%
ald_25_freq_cut_amine_9_freq_cut,1.11%,98.89%,0.92%,99.08%
ald_2_freq_cut_amine_0_freq_cut,14.77%,85.23%,14.94%,85.06%
ald_2_freq_cut_amine_10_freq_cut,84.49%,15.51%,84.47%,15.53%
ald_2_freq_cut_amine_11_freq_cut,77.42%,22.58%,71.25%,28.75%
ald_2_freq_cut_amine_12_freq_cut,30.85%,69.15%,25.76%,74.24%
ald_2_freq_cut_amine_13_freq_cut,40.63%,59.37%,33.49%,66.51%
ald_2_freq_cut_amine_14_freq_cut,25.09%,74.91%,22.24%,77.76%
ald_2_freq_cut_amine_15_freq_cut,67.08%,32.92%,48.42%,51.58%
ald_2_freq_cut_amine_16_freq_cut,63.43%,36.57%,58.93%,41.07%
ald_2_freq_cut_amine_17_freq_cut,69.72%,30.28%,65.65%,34.35%
ald_2_freq_cut_amine_18_freq_cut,84.67%,15.33%,84.4%,15.6%
ald_2_freq_cut_amine_19_freq_cut,89.42%,10.58%,87.97%,12.03%
ald_2_freq_cut_amine_1_freq_cut,13.75%,86.25%,13.49%,86.51%
ald_2_freq_cut_amine_2_freq_cut,85.37%,14.63%,81.7%,18.3%
ald_2_freq_cut_amine_3_freq_cut,95.36%,4.64%,93.99%,6.01%
ald_2_freq_cut_amine_4_freq_cut,63.23%,36.77%,47.0%,53.0%
ald_2_freq_cut_amine_5_freq_cut,91.15%,8.85%,82.31%,17.69%
ald_2_freq_cut_amine_6_freq_cut,24.41%,75.59%,20.66%,79.34%
ald_2_freq_cut_amine_7_freq_cut,86.3%,13.7%,84.26%,15.74%
ald_2_freq_cut_amine_8_freq_cut,90.32%,9.68%,88.66%,11.34%
ald_2_freq_cut_amine_9_freq_cut,22.68%,77.32%,20.62%,79.38%
ald_3_freq_cut_amine_0_freq_cut,1.29%,98.71%,0.4%,99.6%
ald_3_freq_cut_amine_10_freq_cut,84.67%,15.33%,84.49%,15.51%
ald_3_freq_cut_amine_11_freq_cut,2.8%,97.2%,1.34%,98.66%
ald_3_freq_cut_amine_12_freq_cut,1.66%,98.34%,0.4%,99.6%
ald_3_freq_cut_amine_13_freq_cut,1.67%,98.33%,0.44%,99.56%
ald_3_freq_cut_amine_14_freq_cut,1.3%,98.7%,0.36%,99.64%
ald_3_freq_cut_amine_15_freq_cut,2.6%,97.4%,1.19%,98.81%
ald_3_freq_cut_amine_16_freq_cut,1.34%,98.66%,0.6%,99.4%
ald_3_freq_cut_amine_17_freq_cut,1.29%,98.71%,0.35%,99.65%
ald_3_freq_cut_amine_18_freq_cut,84.49%,15.51%,84.27%,15.73%
ald_3_freq_cut_amine_19_freq_cut,1.31%,98.69%,0.51%,99.49%
ald_3_freq_cut_amine_1_freq_cut,1.06%,98.94%,0.32%,99.68%
ald_3_freq_cut_amine_2_freq_cut,85.03%,14.97%,82.69%,17.31%
ald_3_freq_cut_amine_3_freq_cut,95.07%,4.93%,93.27%,6.73%
ald_3_freq_cut_amine_4_freq_cut,3.07%,96.93%,1.28%,98.72%
ald_3_freq_cut_amine_5_freq_cut,86.92%,13.08%,78.76%,21.24%
ald_3_freq_cut_amine_6_freq_cut,1.55%,98.45%,0.41%,99.59%
ald_3_freq_cut_amine_7_freq_cut,85.93%,14.07%,83.92%,16.08%
ald_3_freq_cut_amine_8_freq_cut,1.63%,98.37%,0.54%,99.46%
ald_3_freq_cut_amine_9_freq_cut,1.3%,98.7%,0.44%,99.56%
ald_4_freq_cut_amine_0_freq_cut,51.94%,48.06%,31.28%,68.72%
ald_4_freq_cut_amine_10_freq_cut,84.76%,15.24%,84.63%,15.37%
ald_4_freq_cut_amine_11_freq_cut,86.6%,13.4%,80.31%,19.69%
ald_4_freq_cut_amine_12_freq_cut,85.03%,14.97%,63.38%,36.62%
ald_4_freq_cut_amine_13_freq_cut,86.52%,13.48%,69.21%,30.79%
ald_4_freq_cut_amine_14_freq_cut,76.01%,23.99%,44.61%,55.39%
ald_4_freq_cut_amine_15_freq_cut,88.38%,11.62%,63.5%,36.5%
ald_4_freq_cut_amine_16_freq_cut,88.35%,11.65%,82.88%,17.12%
ald_4_freq_cut_amine_17_freq_cut,88.06%,11.94%,84.2%,15.8%
ald_4_freq_cut_amine_18_freq_cut,84.94%,15.06%,84.51%,15.49%
ald_4_freq_cut_amine_19_freq_cut,99.76%,0.24%,99.64%,0.36%
ald_4_freq_cut_amine_1_freq_cut,38.55%,61.45%,20.47%,79.53%
ald_4_freq_cut_amine_2_freq_cut,87.51%,12.49%,82.63%,17.37%
ald_4_freq_cut_amine_3_freq_cut,96.39%,3.61%,94.35%,5.65%
ald_4_freq_cut_amine_4_freq_cut,86.61%,13.39%,60.45%,39.55%
ald_4_freq_cut_amine_5_freq_cut,91.42%,8.58%,82.26%,17.74%
ald_4_freq_cut_amine_6_freq_cut,75.57%,24.43%,44.79%,55.21%
ald_4_freq_cut_amine_7_freq_cut,86.1%,13.9%,84.22%,15.78%
ald_4_freq_cut_amine_8_freq_cut,97.47%,2.53%,95.89%,4.11%
ald_4_freq_cut_amine_9_freq_cut,76.48%,23.52%,45.74%,54.26%
ald_5_freq_cut_amine_0_freq_cut,61.62%,38.38%,36.94%,63.06%
ald_5_freq_cut_amine_10_freq_cut,84.57%,15.43%,84.59%,15.41%
ald_5_freq_cut_amine_11_freq_cut,86.64%,13.36%,80.22%,19.78%
ald_5_freq_cut_amine_12_freq_cut,84.7%,15.3%,61.83%,38.17%
ald_5_freq_cut_amine_13_freq_cut,90.7%,9.3%,79.61%,20.39%
ald_5_freq_cut_amine_14_freq_cut,75.73%,24.27%,47.79%,52.21%
ald_5_freq_cut_amine_15_freq_cut,87.98%,12.02%,64.26%,35.74%
ald_5_freq_cut_amine_16_freq_cut,88.33%,11.67%,82.81%,17.19%
ald_5_freq_cut_amine_17_freq_cut,87.9%,12.1%,84.26%,15.74%
ald_5_freq_cut_amine_18_freq_cut,84.73%,15.27%,84.54%,15.46%
ald_5_freq_cut_amine_19_freq_cut,99.86%,0.14%,99.34%,0.66%
ald_5_freq_cut_amine_1_freq_cut,37.9%,62.1%,20.07%,79.93%
ald_5_freq_cut_amine_2_freq_cut,87.25%,12.75%,82.73%,17.27%
ald_5_freq_cut_amine_3_freq_cut,96.42%,3.58%,94.38%,5.62%
ald_5_freq_cut_amine_4_freq_cut,84.53%,15.47%,59.67%,40.33%
ald_5_freq_cut_amine_5_freq_cut,91.47%,8.53%,82.26%,17.74%
ald_5_freq_cut_amine_6_freq_cut,80.01%,19.99%,49.75%,50.25%
ald_5_freq_cut_amine_7_freq_cut,86.2%,13.8%,84.52%,15.48%
ald_5_freq_cut_amine_8_freq_cut,97.52%,2.48%,96.09%,3.91%
ald_5_freq_cut_amine_9_freq_cut,77.12%,22.88%,47.41%,52.59%
ald_6_freq_cut_amine_0_freq_cut,0.15%,99.85%,0.19%,99.81%
ald_6_freq_cut_amine_10_freq_cut,84.78%,15.22%,84.62%,15.38%
ald_6_freq_cut_amine_11_freq_cut,86.52%,13.48%,80.85%,19.15%
ald_6_freq_cut_amine_12_freq_cut,0.5%,99.5%,0.28%,99.72%
ald_6_freq_cut_amine_13_freq_cut,1.81%,98.19%,1.24%,98.76%
ald_6_freq_cut_amine_14_freq_cut,0.26%,99.74%,0.08%,99.92%
ald_6_freq_cut_amine_15_freq_cut,76.88%,23.12%,56.06%,43.94%
ald_6_freq_cut_amine_16_freq_cut,56.42%,43.58%,52.72%,47.28%
ald_6_freq_cut_amine_17_freq_cut,69.43%,30.57%,66.3%,33.7%
ald_6_freq_cut_amine_18_freq_cut,84.77%,15.23%,84.56%,15.44%
ald_6_freq_cut_amine_19_freq_cut,74.37%,25.63%,74.19%,25.81%
ald_6_freq_cut_amine_1_freq_cut,-0.11%,100.11%,0.0%,100.0%
ald_6_freq_cut_amine_2_freq_cut,87.73%,12.27%,83.24%,16.76%
ald_6_freq_cut_amine_3_freq_cut,95.74%,4.26%,93.7%,6.3%
ald_6_freq_cut_amine_4_freq_cut,71.46%,28.54%,49.96%,50.04%
ald_6_freq_cut_amine_5_freq_cut,91.45%,8.55%,82.17%,17.83%
ald_6_freq_cut_amine_6_freq_cut,0.05%,99.95%,0.09%,99.91%
ald_6_freq_cut_amine_7_freq_cut,86.1%,13.9%,84.78%,15.22%
ald_6_freq_cut_amine_8_freq_cut,97.34%,2.66%,95.4%,4.6%
ald_6_freq_cut_amine_9_freq_cut,0.24%,99.76%,0.15%,99.85%
ald_7_freq_cut_amine_0_freq_cut,14.64%,85.36%,12.92%,87.08%
ald_7_freq_cut_amine_10_freq_cut,84.26%,15.74%,84.47%,15.53%
ald_7_freq_cut_amine_11_freq_cut,78.11%,21.89%,72.45%,27.55%
ald_7_freq_cut_amine_12_freq_cut,34.23%,65.77%,27.22%,72.78%
ald_7_freq_cut_amine_13_freq_cut,44.12%,55.88%,36.18%,63.82%
ald_7_freq_cut_amine_14_freq_cut,27.72%,72.28%,22.79%,77.21%
ald_7_freq_cut_amine_15_freq_cut,68.09%,31.91%,50.33%,49.67%
ald_7_freq_cut_amine_16_freq_cut,71.08%,28.92%,66.3%,33.7%
ald_7_freq_cut_amine_17_freq_cut,75.09%,24.91%,71.17%,28.83%
ald_7_freq_cut_amine_18_freq_cut,84.26%,15.74%,84.27%,15.73%
ald_7_freq_cut_amine_19_freq_cut,94.76%,5.24%,94.13%,5.87%
ald_7_freq_cut_amine_1_freq_cut,15.99%,84.01%,15.28%,84.72%
ald_7_freq_cut_amine_2_freq_cut,85.8%,14.2%,82.69%,17.31%
ald_7_freq_cut_amine_3_freq_cut,95.2%,4.8%,93.48%,6.52%
ald_7_freq_cut_amine_4_freq_cut,64.17%,35.83%,46.92%,53.08%
ald_7_freq_cut_amine_5_freq_cut,91.22%,8.78%,82.14%,17.86%
ald_7_freq_cut_amine_6_freq_cut,24.99%,75.01%,19.92%,80.08%
ald_7_freq_cut_amine_7_freq_cut,86.23%,13.77%,84.14%,15.86%
ald_7_freq_cut_amine_8_freq_cut,92.2%,7.8%,91.19%,8.81%
ald_7_freq_cut_amine_9_freq_cut,25.33%,74.67%,21.27%,78.73%
ald_8_freq_cut_amine_0_freq_cut,10.21%,89.79%,10.19%,89.81%
ald_8_freq_cut_amine_10_freq_cut,84.28%,15.72%,84.54%,15.46%
ald_8_freq_cut_amine_11_freq_cut,79.33%,20.67%,73.03%,26.97%
ald_8_freq_cut_amine_12_freq_cut,32.71%,67.29%,25.78%,74.22%
ald_8_freq_cut_amine_13_freq_cut,44.59%,55.41%,36.8%,63.2%
ald_8_freq_cut_amine_14_freq_cut,25.92%,74.08%,21.06%,78.94%
ald_8_freq_cut_amine_15_freq_cut,66.68%,33.32%,48.76%,51.24%
ald_8_freq_cut_amine_16_freq_cut,69.43%,30.57%,64.31%,35.69%
ald_8_freq_cut_amine_17_freq_cut,77.48%,22.52%,73.09%,26.91%
ald_8_freq_cut_amine_18_freq_cut,84.51%,15.49%,84.5%,15.5%
ald_8_freq_cut_amine_19_freq_cut,94.69%,5.31%,94.18%,5.82%
ald_8_freq_cut_amine_1_freq_cut,13.27%,86.73%,12.51%,87.49%
ald_8_freq_cut_amine_2_freq_cut,86.38%,13.62%,82.75%,17.25%
ald_8_freq_cut_amine_3_freq_cut,94.99%,5.01%,93.08%,6.92%
ald_8_freq_cut_amine_4_freq_cut,63.33%,36.67%,48.85%,51.15%
ald_8_freq_cut_amine_5_freq_cut,91.39%,8.61%,82.46%,17.54%
ald_8_freq_cut_amine_6_freq_cut,25.58%,74.42%,20.47%,79.53%
ald_8_freq_cut_amine_7_freq_cut,86.27%,13.73%,84.24%,15.76%
ald_8_freq_cut_amine_8_freq_cut,93.01%,6.99%,91.66%,8.34%
ald_8_freq_cut_amine_9_freq_cut,27.41%,72.59%,22.22%,77.78%
ald_9_freq_cut_amine_0_freq_cut,8.98%,91.02%,8.0%,92.0%
ald_9_freq_cut_amine_10_freq_cut,84.28%,15.72%,84.53%,15.47%
ald_9_freq_cut_amine_11_freq_cut,79.2%,20.8%,72.84%,27.16%
ald_9_freq_cut_amine_12_freq_cut,31.53%,68.47%,24.74%,75.26%
ald_9_freq_cut_amine_13_freq_cut,43.04%,56.96%,36.01%,63.99%
ald_9_freq_cut_amine_14_freq_cut,24.68%,75.32%,19.6%,80.4%
ald_9_freq_cut_amine_15_freq_cut,66.9%,33.1%,49.32%,50.68%
ald_9_freq_cut_amine_16_freq_cut,69.49%,30.51%,64.62%,35.38%
ald_9_freq_cut_amine_17_freq_cut,77.4%,22.6%,73.42%,26.58%
ald_9_freq_cut_amine_18_freq_cut,84.32%,15.68%,84.54%,15.46%
ald_9_freq_cut_amine_19_freq_cut,94.87%,5.13%,94.53%,5.47%
ald_9_freq_cut_amine_1_freq_cut,12.99%,87.01%,11.66%,88.34%
ald_9_freq_cut_amine_2_freq_cut,85.9%,14.1%,82.77%,17.23%
ald_9_freq_cut_amine_3_freq_cut,94.9%,5.1%,92.81%,7.19%
ald_9_freq_cut_amine_4_freq_cut,62.85%,37.15%,48.42%,51.58%
ald_9_freq_cut_amine_5_freq_cut,91.46%,8.54%,82.28%,17.72%
ald_9_freq_cut_amine_6_freq_cut,24.85%,75.15%,20.1%,79.9%
ald_9_freq_cut_amine_7_freq_cut,86.29%,13.71%,83.99%,16.01%
ald_9_freq_cut_amine_8_freq_cut,93.49%,6.51%,91.95%,8.05%
ald_9_freq_cut_amine_9_freq_cut,25.89%,74.11%,21.26%,78.74%
